name,image,class,subclass,description,ingredients,hp,effect
Frozen Hearty Bass,40px-BotW_Frozen_Hearty_Bass_Icon.png?version=7f2d2b2418d407bba3311cfda038a710 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/kPWvKSGigOIVwsmaOnzW_w/XDbiqMHrQlLPIUmGuaTKmKsp7-syGmjNtlUpfE8rj0cJN01KtiRrX0-LG8jngAiBKueIdUz8mZ-1jX5a2XB5FmbEW2davQAIhCugt-QJKdzbroY-dmljhkC8w5tybgfbq6VciTEb008T-MBM9YQim4DqxwrW1E0R8xnQgE6B8QlFmjkZf6ETkrA5sUzv0-_i/io2C040CLAORLIZKyVybGFvPcUJ5xuPKIS_c5kqCB5o),Food,Frozen,"This hearty bass has been frozen by cool air. Eating it will be a challenge because it's frozen solid, but if you persevere, it will temporarily increase your heat resistance.",Hearty Bass,2.0,Chilly
Frozen Bird Drumstick,40px-BotW_Frozen_Bird_Drumstick_Icon.png?version=a956cb25412589cf5688869f85d7178e (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/TJMimU7jTfqe7SXJAfvXDw/drGi04V99w66PRSDIob-JRQq232PY2B5ioFHvovBOTn6PeQi76xxnd0X1OBbrJOoa3CzzVntcFyZOwR6lKbyyYxqyAkYTY4yoStit7ua5LNINO5vqXyS8CMqzZOPmO5uH6R8ELpI201EtMWOYYflfEagK-JMqIwvqqbO4O6K1jh9mTa4vGepIRgAYU-4RTJy/dZYPC415Kb0b3xaqNd6hMnFPusnqjgBnkPx0VpZfdlk),Food,Frozen,It's as hard as a rock but is supposedly edible. It restores a small number of hearts and has a cooling effect.,Raw Bird Drumstick,1.0,Chilly
Frozen Bird Thigh,40px-BotW_Frozen_Bird_Thigh_Icon.png?version=802e8a5798467c023960d3f01efe3b92 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/RrOJJ5JJ0jw3HGY_3mxaYw/pE_p2HU2MgYzStUseqH66LQi90q-w84eQReriypG8K-a84vEImgEsmCJ7yAfAOPU-482mJzLmar2TgvKYlQWzjEqB4p2QV2L96WuuJQFLfk3A-SPGR2OAFp4zeKijBBhKh-S8FDCEO2yah4AZkLqEsIO3SvGDpyHJfTn5HjJ4CNcVhWduvoXEdA5dgWnru_G/7bKUi7nproWTykxQH5_p1e87E4ORrqlVNYJw_1Wsa3s),Food,Frozen,"High-quality, frozen bird meat. It's so solid it looks like it could be used as a weapon. Eating it will restore some hearts and cool you down, but don't break your teeth on it.",Raw Bird Thigh,1.0,Chilly
Frozen Whole Bird,40px-BotW_Frozen_Whole_Bird_Icon.png?version=62b0ece4618c09a515d023fcd685681d (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/_WBcoXhOnmGkxy3w9qiZNQ/WtMJ6WxomqtDEIPrZ7nuTa1spf5ZdTLKxVduyiT3cUdQTNvot9jYKI11MfsQWTU0c655DIXsomCBHzFrsemXqSwUoy8oOASqyKJNltOPMY3Jf_iXv7G9A1cBGsqugRLSufz7SNvY7JESM00ZyGX3jz10HQyF82dsSeXQJhyL-Ju7uzmrs0RFpEU-LO-p14X4/Uq4KQKNIbGQ2rodlg-Vy1AfROgBQ54hzRv2MtunQ4mI),Food,Frozen,"This raw whole bird may have been frozen solid, but its flavor remains intact. Eating it will provide a temporary boost to your heat resistance.",Raw Whole Bird,3.0,Chilly
Frozen Carp,40px-BotW_Frozen_Carp_Icon.png?version=db0dad455170d27eae953ada9c72b395 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/24dvSH5Foc6MOBiy9DnODA/tquixQjMu5VgaGVktPq6h000WTnmn31oQ_-ZUNlRRnT6vCwBd8gKGUQ9tGp5Mh_E6v0DIvpLJ5JFgygNhSwSVo2huDHMBP7ePaW8shhupOV-257Leli2U6OLXem1h-GMQUpGArkuvT03urgmhwbYhF3AUK358eZA6X_I-Htxr_ClBZNBZf0L6UqE2CrgiCNJ/sEzoo6-X58R2whjh44V6bA0zXSmzcolPn87xdKhNeaA),Food,Frozen,"The crunchy, icy texture of this chilled carp is quite the delicacy. Eating it will temporarily increase your heat resistance.","Sanke Carp,Armored Carp",1.0,Chilly
Frozen Crab,40px-BotW_Frozen_Crab_Icon.png?version=6e4966c9a8999d6818b7da05a949bd15 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/MpONdT67y4nwN1QV9qHmvw/aNSF3To3Mh5IltuHSQayRzHKA2PVLXIvcRJkzjnYzsnMOfeSDa66M8xTgiiSdHKcbS1Yx3h0vaTUhXmdNPOrHL0NhkKfJIPr-XNjUrvBzbDRht6UKyFK2dh2CA1Srat7CRNQ3eEPRIIKbg2yDbbCJa80d0G1swD5D7qtcwNBNz0yMH_IhwpuEx2BP0RgSk-G/yyXsgA4RAGXd-RMgjo_6W2iM3jVO_Bu4NFh8DDxjJdk),Food,Frozen,"Doesn't provide as much companionship as an unfrozen crab, but it won't spoil during your travels. Eat it to gain a temporary boost to your heat resistance.","Ironshell Crab,Bright-Eyed Crab,Razorclaw Crab",2.0,Chilly
Frozen River Snail,40px-BotW_Frozen_River_Snail_Icon.png?version=7453a4f87f25d571ff3f6865b4c58b63 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ol5zsYop8nZaOTrBpMSnIw/MZRc8FWtRjrwVVW-CU39tk8BpXffLUBApgnD3pxNSkL6VnKVW3jkQR-qh1Pnz6qF_IFMWy9Md2eI9KF2SlARazL5ecLiy-6DbQuWTBUDOylIBYC5afvqEKcFD1MmOx15LHhhYvO-zEG9ILFxmb7HCE2ZDKEyaH3K9Q_BOtmPGjt9KZ7oAtRu4tJLT-7nLWvU/OeBZXu63ljhcVm5CaA5beNqVyycnnn8GTrEwQc5aPck),Food,Frozen,"The distinct glow of this sneaky river snail has diminished after it's been frozen, but eating it will provide a temporary increase to your heat resistance.",Sneaky River Snail,1.0,Chilly
Frozen Trout,40px-BotW_Frozen_Trout_Icon.png?version=a81f1e069aff4e9700ee70436c5ae570 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/2RrFhAkVk_Uz-bGKfGaoFw/X4cnQCZpgy-zV1N_gbVeQnyuGWJhCzG9lOobxKmqktibIITbQQBaaGqkksB7btNh9JWwHC1ec4wy-QsgQ68iTye2FrfcwUvVj1c2XzhzcBkrfwTcvA2EAmjrXJejk-okU5ghTV7fx-o47pB5gKQtF1aqiKFQA9M2uAAVPDc-i8mI-f4jewVb1zthw0dpimLL/z9d_QssC4tV55k8jvwjcZoJexj895HN5CbVqWkIwGGY),Food,Frozen,Being frozen has condensed the taste of fish inside this trout's body. Eating it will provide a temporary boost to your heat resistance.,"Voltfin Trout,Chillfin Trout,Sizzlefin Trout,Stealthfin Trout",1.0,Chilly
Icy Hearty Blueshell Snail,40px-BotW_Icy_Hearty_Blueshell_Snail_Icon.png?version=0dd9546118149ef0c9f8a262f9aa2c5b (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/vhURp7VLIEoXbo82W_WUrg/gcHmM-EOPNOQcJ0ShuA4caYaPd7xCgYQP6sss1MHSukD1NHupQJvn469oX38_aaUDwcFLRYXo69DvahhiRSVAjYt-mp7XHXDzNwuVzjCfWvnivkIcnQqIx3i--01SpFbRubzLgt-4kTE-nzSmTxmfMM-LnRHIRc9K2sl2Fyp-uPsJlBbXCYLCYK1aT70gSCh/Qp_XJkKCoVLUQ87DL3968far_-k3j7BggjLQUDX9ucg),Food,Frozen,It takes a skilled chef to get the meat out of this frozen hearty blueshell snail. Eating this will provide a temporary increase to your heat resistance.,Hearty Blueshell Snail,3.0,Chilly
Icy Meat,40px-BotW_Icy_Meat_Icon.png?version=228b9ed677be1b449a2766f29c6900e3 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/KqJkjCFXZ1PZaSVaqVWZrQ/JzSir-H9hIdOJlAjg-BPd-PHhCFNbNb0b-rBCR2rxvBiAPMG-PuzLyxX1v5gWxDiNTC8ijIJMVy8I7jYs371pKSk4JF7zrMC2W8lvSO5g0KMa5i40scGytjyBKFmKPsIvmozMUz76mCLNLqKu3t2cdiR6N_Z46Mk74gFciE6fEk/KV0PnXyWpIaiRMmNR_deRwKWZBg_wBfEQBtra65Jd1o),Food,Frozen,"A frozen slab of animal meat. If you can manage to chew it up and swallow it, you'll restore some hearts and lower your body temperature.",Raw Meat,1.0,Chilly
Icy Prime Meat,40px-BotW_Icy_Prime_Meat_Icon.png?version=a2955c4e186e01cea32203db9602531c (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Bx6RDuJXgeQvcrIq87XnbQ/tKCsENyzxGCC70fXLIEs0XhHUIzR0AmSeFJcffkT-MFkyzMyoCVrxeEhRlbvTEo5WJK6HXVk94jgaRYMVKwjtMaaXVtxz1OlW7AhJQ8dGDjNQXdlWofkug7LMluJuuKI9_392Qy5XHx_u9-SsYlJiMkrH3Hz6cw9huH0-riukGO7mKbCy0KkhZEdKbCti-bK/vtxK5oBbu0-x95KuHEoMRs7hUszPPSCAuzuE2QhD1Rk),Food,Frozen,"High-quality, frozen animal meat. Doesn't restore many hearts, but it can lower your body temperature.",Raw Prime Meat,1.5,Chilly
Icy Gourmet Meat,40px-BotW_Icy_Gourmet_Meat_Icon.png?version=e50685b54772f1604fd32372e6de1fcd (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/7nCxpF4lNksJ7UZcpYJRxw/bFW3BktWcOczyLteerV6AR0qKxTw7s-CaZaEeQTj81zzdN64YIxD-7HJKEtVFYoVp-GwSEjSYTRwFJh3aLydvQhGCAEQuvrCGnd_Q46eu7TLBjsWj2aAU_ixy-_XRbhHgxlHUfUXztc1VQED1xMv9YxElbx4Am_HeMdi_kpALS2YPFsbKr1Fi148W06Z-CUw/tImHcASxgxWk_rLOAWJgOPy6R5xmiVGGr2A4c4YgaLI),Food,Frozen,This raw gourmet meat has been frozen for easy traveling. It's kept its flavor through the freezing process. Eating it as is will provide a temporary boost to your heat resistance.,Raw Gourmet Meat,3.0,Chilly
Chilly Elixir,40px-BotW_Chilly_Elixir_Icon.png?version=efbf15cb2db90242aa671c7793a37352 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/AQASXnhWzsCw46SpgRfZRQ/u3f8hs_zFvBMw1L6Y1jm4dF85y2Da8uAK1RAKa9_a_omg9XPL-kUej7Gu8sByP_EKfpBPggkmbZw6NAq72Ha_kgA4QWgVKrYds5WIGNVVtBZBihaXvO3nq_6bdp-VUZ0JYdfZ5bs_KKKC8bADqosWkxbYho520udb9h0k69pbJDNIHmnUUHUYIdC5kuZMXG9/uGCyGTOGCPFPUTOcmfBSfDv8ZmFOxXIFRbIUg_FDqPU),Food,Elixir,"Grants a X-level cooling effect, raising your body's resistance to heat. Crucial for long journeys through the desert.","Winterwing Butterfly,Cold Darner",,Chilly
Frozen Hearty Salmon,40px-BotW_Frozen_Trout_Icon.png?version=a81f1e069aff4e9700ee70436c5ae570 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/2RrFhAkVk_Uz-bGKfGaoFw/X4cnQCZpgy-zV1N_gbVeQnyuGWJhCzG9lOobxKmqktibIITbQQBaaGqkksB7btNh9JWwHC1ec4wy-QsgQ68iTye2FrfcwUvVj1c2XzhzcBkrfwTcvA2EAmjrXJejk-okU5ghTV7fx-o47pB5gKQtF1aqiKFQA9M2uAAVPDc-i8mI-f4jewVb1zthw0dpimLL/z9d_QssC4tV55k8jvwjcZoJexj895HN5CbVqWkIwGGY),Food,Frozen,"This salmon doesn't taste quite as fishy because the excess fat has been removed. It's exceptionally cold, so eating it provides a temporary boost to heat resistance.",Hearty Salmon,1.0,Chilly
Apple Pie,40px-BotW_Apple_Pie_Icon.png?version=70ae820b56bb20e8bedf830c2d2ca4f1 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/yMtuoy21aDnSAV6c02vlwQ/ayR-AeXqc_IoV49pJtL-wKozucAlUGGxaaMXMAj7PfK3vv_xtPoqaN30J-_iaxQJhM3etQdvzbx6Ytiqyp33aeZ0TDjCgtU2ffeIhnPdDvHekpiX4lhjlhlr6l25qPh9voiXJoRUkxTfxOepf6MqRAQCUti89r01mHAiREl2vv8/T7jPZ1z_9411yB9RFNhM9LdXpAuTmU7QdOLzOMCmz_g),Food,Cooked,"The crispy, flaky pie crust and sweet apples are a match made in heaven.","Tabantha Wheat,Cane Sugar,Goat Butter,Apple",,
Carrot Cake,40px-BotW_Carrot_Cake_Icon.png?version=713035acbb660f906a053e164ae8a271 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/P2NsAJM60IAdQ1Dmx-peJg/8cHYB9AbExnlHiEt5gcfm2Y4OvA6mmG62hEcM4UsPTKfh9uE81RL9iDSmLEv8DB9PB72PrlHlrJSbPNtBuzmGw4mcPYSpq4TOelF--qHO071UO7GtLTEzCXHCB-K_H-swkFaz9ighLCteFGn4wrw-ZxDaBQLKpX3zHmc49ZGCrhfl8JYZ6jxFhMVevtg7rKi/KkJUhf2m8_ozBjtNkn8dbMvcEoegOkcKczI2UVK2E9o),Food,Cooked,Even those who don't like carrots tend to enjoy the mild sweetness of this cake.,"Tabantha Wheat,Cane Sugar,Goat Butter,Swift Carrot,Endura Carrot",,
Carrot Stew,40px-BotW_Carrot_Stew_Icon.png?version=9a9a9f8488608cc51abf01316cd41c52 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/rNqJSDQojT78YpG_mgc2sA/WN4ioj5ockCW8aoPYH1MfQSYUID3Ui_OUjPRKebT0rK45Ns1O4j75O_gSDDFCbhXoquU9bB6L564MzTxZojXeLJVb7P_lJcpYGxjC44lqYC4G0A_XE5EvU5gB6Avu33kzek6nomlLs57SLUVTr2-rqL5tnn0zAT-7QnJ-jGnCfV7MA2XfEfkb2m2bNYw3jZL/pCrUHTjuzkMkAshA06zungRosIHy6OAVE9rJQiSGe-Q),Food,Cooked,This simple stew sat simmering for a long time to bring out the sweetness of the carrots.,"Fresh Milk,Goat Butter,Tabantha Wheat,Swift Carrot,Endura Carrot",,
Crab Omelet with Rice,40px-BotW_Crab_Omelet_with_Rice_Icon.png?version=354720c5d28e710f1c02d9d5f5a4679b (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/-fHMy5iEzvJZDWn58AcS1w/3cegjaRVGe1f86g2m95BhpnfiwuT9AATdJ_3Zi6RlKyXpn5S5fHB5G82XlbBlPKZWpTDNCeqIfhtM99hM7Hor3zmK-QYDjtS_fng3_djXyxj5i1fOQ0-YwdEE2Erf0kPpxyOcT0_zHtRr11aSj_Lvni-kjOaNW9MoTXYmllxprPzaonMCkNMDMo-57TeU3b5/bCpjqLqsYo23jp3H4JzBokfgwdm5fiOSbg1e70fUXgI),Food,Cooked,The fluffy crab legs pair perfectly with the rice for a truly scrumptious dish.,"Hylian Rice,Bird Egg,Rock Salt,Ironshell Crab,Razorclaw Crab,Bright-Eyed Crab",,
Crab Risotto,40px-BotW_Crab_Risotto_Icon.png?version=4608dbaea43b51dac62842a2765ded00 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/-DTgJfdum1ThZVJCCkqFWw/Bzxxewu3GAbHCSps0SmYSsS4QvdZQp9Rv8QmvUoruO5rV0sRdV1XnChjV0T_K0px6EVdhryoLLQ5Ic-TGf4IAoDYd00PrMu_hIT4sbjf7sCsdm9u4iW1cnKfxh7PRovWjODVLyPdwWjao4oPz8Vlc-dWnIpnzNyhq_Uy7UUEumoX4YVcosG6A_FeDr9FHF2b/dDixBjNgn-atpQeSYuCuCiRaeeCkoKG4uGYQuskr83g),Food,Cooked,"An everyday stable of seaside villages, the secret to its delicious flavor lies in crab fat.","Hylian Rice,Goat Butter,Rock Salt,Ironshell Crab,Razorclaw Crab,Bright-Eyed Crab",,
Crab Stir-Fry,40px-BotW_Crab_Stir-Fry_Icon.png?version=df1236c13ee90e040fc34be067d68695 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/lUFHAwLfsCULRFNzZT97XQ/fFt7scb957LJGEqH5zqR3NIP4dQuOfXPtpIqH2S_NV8tKd5UtwfDTaiwl9xXsY5WEN_I6mrKJT9gzoW0IZZxF9M-RftWXh0ZqUk15XpN_PPuiKuS1pFdBRemeaHQB0XhxRWRfNkQtBn8aKE231NfKmsNn4HGPapGFOWaDjAxlgxosfx_SROTjCrylWtq8YzI/3eerCDJ9eeHgTot-WIXJgQYLu9SnTASr6em3LLeRF3Q),Food,Cooked,The Goron spice used in preparing this crab pairs perfectly with the flavor of the meat.,"Goron Spice,Ironshell Crab,Razorclaw Crab,Bright-Eyed Crab",,
Cream of Mushroom Soup,40px-BotW_Cream_of_Mushroom_Soup_Icon.png?version=df86c6187dc815989c009924ca4d1321 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/BtndoBRAavvKFmRigUnO7A/jh7bLjfsjvIYO9ImFs8MGfKSaHR4E38qfhPwFejPB732fuk1azqr3IL2NhOIyHW8CsnfLcpsIxbCEWVPxplRhF-od91uBFkY0vThrQx1gF5HZoG4z6tunUlHiLs6bhmvDsIa8713Lk6ZxbBlO-OpT4mIvR2woBAHYDzLSsS631eCuYkawXRRkM3dr7_ZhKOR/bIUXVLooLKU7ORWiq-yKQSHZ17YQ2Gf2dTQkl6qakyg),Food,Cooked,The creamy mushroom and vegetable soup is so chunky it eats like a meal!,"Any Mushroom,Any Vegetable,Any Flower or Herb,Fresh Milk,Rock Salt",,
Cream of Vegetable Soup,40px-BotW_Cream_of_Vegetable_Soup_Icon.png?version=ff833bf67556c0a6fb9eb51df8d57de6 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/YvMEzLdOckIS-vVDild9Nw/uzcIqpjMnbwn-daR9BEm_O6cK5dfLkK_YUibIboHVu5xF8VEpne_vHpg_XSigZNC7goisG1Q2R1O6PCALSd4J8RxRaepg-XYe9zVJIXwycvKRrHijn-aLyIWywhXOiusEPfjHAXEL6O9IKdLbIo19wljMdP-fgoW2DlFaKJtBfEJwTilbxCH8KRG9iFrti1H/5z3fRNSlSSCWKQXUxGgRPK6reX05Tczp-ylCP0btorM),Food,Cooked,"Made by simmering vegetables in milk, this healthy dish is as simple as the ingredients.","Any Vegetable (except Carrot or Pumpkin),Any Flower or Herb,Fresh Milk,Rock Salt",,
Creamy Heart Soup,40px-BotW_Creamy_Heart_Soup_Icon.png?version=df81132e53bb6e698ccecb24b36445c6 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Hl7G5Lt2vXTFaMwxWPCeNg/NS6SmKz9o6t_5SNvvCM81DyjztzwORl8O3sjbB_HxbeXMuF54Z8wGp_fQBwkGFTva-_6ZoMX0o2NGviQ-lD24s8md4nd6Jh_3P0UVwPgMV8sWoVFRKl0DkKlfW78a3ThwygkeZnM11f1h7Tyxp5u9rUHX2O7N-6QsX8kriOip8H1olWdgvDdEQaWOKQUqzdE/HgfL2bO6K7lnyPqFrKlzBqPOCqBqLGdUAxmTH3rsNog),Food,Cooked,Enjoying this sweet soup with another person will bring you both closer together.,"Hydromelon,Voltfruit,Fresh Milk,Hearty Radish,Big Hearty Radish",,
