name,image,class,subclass,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Moblin Arm,BotW_Moblin_Arm_Icon.png?version=0ce9ecb2f419329506aa8f27f75a6695 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/gVcAqIx3lZqR4isOX2krww/h2tjuJ6FQYmNElcuX6GEud8XSDTdhKHQ06Ie80Pw5H3mUJ0qCtBf_0cgvCBLeGZEbyuGgCmT41PkEhcBJ7Ga_M4R1-L3nI4cOeunXfGCu89xG6eSHm9H7Dhx6lgn_O9qqsQ2xZjEFZykyScO9AJ0HAUL73GOSNfQTC22tBCobeQ/hGbDBxmJLb0M8b83wBm5GiOELpDtlpw3v5PsUlfEj50),Weapon,Heavy,,5.0,15.0,,,,,,,,,A Moblin bone that continues to move even after being detached from its body. The bone is thick enough to be used as a weapon but is extremely brittle and easily broken.,,,,,,,,,
Moblin Club,BotW_Moblin_Club_Icon.png?version=244a3bc7981f45642129a04cd03640b0 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/iQietwA4YjiO_w8SZ2hHrw/JcrhRa4LOczf08JKM2dPCVXd3J5XTyzUPYMNzyiw9Y01Z-2FcsOK6a7HycpDK6xXADKr6IFfECp62qufaUPnBUXMBMhGgas1fpldKpvbz9p_lGUE18PuTUGUrJ3oDwfCjd57XiFuTid9OZw-IqnjAiyk24Jjju0DSEC0kkvCRIs/Dxch5pZJ77IbCbppP6RviRoy9b6bQk4ESMq8Luu5oPo),Weapon,Heavy,,12.0,9.0,,,,,,,,,"A crudely fashioned club favored by Moblins. It's carved from a sturdy tree but is sloppily made, so it breaks easily.",,,,,,,,,
Royal Claymore,BotW_Royal_Claymore_Icon.png?version=f28f21fc6ac7ce675a9fa6d5bf8d090c (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Y9y-kwPVlSBaRmFn6xRG2w/gudwAYmukuvFmhUQBM5B4fl_8uphoOET8lcJQ2_ywFnYXnRD3ELTRBNSgBEFq5k2_Dso6qwR8mFEbVHWYvDu739IyHOrHLHswgy5V__sLz9RPIZWhXqLK5B-UtRnsaow2Ps3Ncmte8Vm4cYt4ikOK70Ya_huAVEsNyivU2134Jw/9sXhMpnDFR37j6ajmR2C6NQhhgQYH7fNYYlSIvbyglk),Weapon,Heavy,,40.0,52.0,,,,,,,,,A two-handed sword issued to the Hyrulean royal family's immediate guard detail. Its powerful strikes are said to crush an opponent's body and resolve alike.,,,,,,,,,
Royal Guard's Claymore,BotW_Royal_Guard%27s_Claymore_Icon.png?version=fd19bb7d8f817e9df3f1bb1c238fb874 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/yNShHNTomFbJcl6SQ6jxCg/JsHepc4mB0b4Kj5qtclCBWZZA4rz8k-KmqE2T5LzvHMqfAiliCIDnamIV_VlMy2UR6Bq5Ilq-iK99vuSaHfz4ikC4yP721lbet401jtjpIx32w8q6ZbObJAOCtghGDOi1oO6V4hbHAb22ToRaK4TeQ36kRstIAivtpJDdLU471UMW87hDv-bXlu1ka_Y6SG0/vAI__N50O5rDwcahP0A8g8t5of6vLR_J3uicmCFHW0M),Weapon,Heavy,,15.0,72.0,,,,,,,,,"The Sheikah used the very essence of ancient technology to forge this greatsword. It was designed to oppose the Calamity, but its low durability made it impractical in battle.",,,,,,,,,
Rusty Claymore,BotW_Rusty_Claymore_Icon.png?version=cb6d09a1b877133ef97184e323ec67e6 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/TgGf6U-fgMVildjOEhWZNQ/A_vgc6EbUwQxRTzGGFca-y5QdgkatppNKhzr6WTDEW0Q4NiHD6-8ADmmI0dL-LMmzSvk9VdPVFRNuVzaaXB8vXZ8MVGHsw3VzK1tYFqz3C6TSb_4Dis26E89J6YlggcBXp9spTZhMmiKRbRB4szoM1uFPQRGp6QLCbRJHElHwFM/raXJWT3cZ9aiaxoBp7_1dFVtZqZh28TNUZBD8o-2WQg),Weapon,Heavy,,10.0,12.0,,,,,,,,,"A two-handed sword not properly cared for. Although it can be used as a weapon, its durability is very low. Don't expect it to last for more than a few strikes.",,,,,,,,,
Savage Lynel Crusher,BotW_Savage_Lynel_Crusher_Icon.png?version=a6a8898e366431a8f6e195f888ad5ad4 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ZKLzdYGD96TDsk4eeWycDA/lo5SCbbkYAVjrWn9S09DHJCx6s28pTWoklpSQ15_ZSsauJ1d7C7VsHzGcLsAhvps5vWqaXfvRLkhT3mxbquqSylP8uw7iSK-EbRqCnJg9cVO7lQGTkl0NUNRqn2Vjx021mhJAooVTp87TTFgISNgGW8KyTyXi0US8yZ8TbbSrvHhLT2Tje7xglE_MveFl_Ww/Frbb9gqhpQLQq9n6wU5Aab4IyRuEIcTJrqh57W-SrV4),Weapon,Heavy,,35.0,78.0,,,,,,,,,This Lynel-made two-handed weapon is immensely heavy thanks to a rare metal from Death Mountain's peak. The power of its downward swing is in a class all its own.,,,,,,,,,
Silver Longsword,BotW_Silver_Longsword_Icon.png?version=ac70373aa6632540e411c87d31576a76 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/u3oSP_SVNd_MT-cYXAI9wQ/EQCZxdGCpQBIv0PFZpOyRqcLCX-eEWo6vPGs3HIStEDIgK_fHTck6mEap10IU1Ax0KbNAqN7s_EdDCGAzm1b_6E4QgPCAyYVyoPCcCpBA-kQLNn6b91O15eXcIypIYhr-nIRAuhRHrcsImhsoiLrknOkdohxxWNUD0L9vOqJY7Ma7T4jCJKvJllugC7Dg_uN/l6Yjr5hbQbm2gPgTwM9pfS8WEa8J1grA7F_qwgV--gI),Weapon,Heavy,,30.0,22.0,,,,,,,,,"Although the Zora prefer spears to swords, they made this two-handed weapon using a special metal. It found popularity among Hylians for its unique design.",,,,,,,,,
Soldier's Claymore,BotW_Soldier%27s_Claymore_Icon.png?version=33412cedb33e12227744b753304207b4 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ApITp3OhdwAqjendjzrYvg/DtnxMIBGe5udCP8PFAuMiD_4KQzycDGzYIP5u4AtADntl5ENtSoZSsiZ6xy_wTrYeyy8_Tpw-nZ9rWskMmDX-PvCoafVk6zlMDm58us7g5eFmCw8IdfdjafpXlrpaymbFZb9ucon5IJ4P3jSb8ZTXEMPFnmdm-kcmUgXkuabIkEU8wCu9GRSn_fOXuLvGj0g/ER7DbHQY24a3ZL-b3B3knwxINDoRYSdDvevw-uBRx-w),Weapon,Heavy,,25.0,20.0,,,,,,,,,A two-handed sword designed for combat. It's heavy and hard to use but has decent build quality and durability.,,,,,,,,,
Spiked Boko Bat,BotW_Spiked_Boko_Bat_Icon.png?version=5fdf6f4b947697b69af3eb0edeca15c4 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/cGU3PS1oOmIGLc4BOl_FaQ/NZIb4_iHofKHYZDpNuheuBv8qXdE5hnF-tk9KvhS4uj6SjjTLmV05ek5vEyzGtFM4RtqjXOHJVpjwAEcfOI-6leot4gOWc6bH0R20D5cLXuVF1_GYaw9taAPEkrPs8CIjyDTwRhL4ycXcHe9LR_Th1woy81rNqQ1R5cfpTWQbwE/qEe7mk1nAaPZt85GS10NOcFAyaTyPzzi1_5fCebynMI),Weapon,Heavy,,12.0,18.0,,,,,,,,,"After much consideration by Bokoblins on how to improve the Boko bat, they simply attached sharp spikes to it. A skilled fighter can cause immense damage with this.",,,,,,,,,
Spiked Moblin Club,BotW_Spiked_Moblin_Club_Icon.png?version=4c6f4a6bb162c6ca87693aa0b971f198 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Y71lwdx_Boxwf__Vu6OBTA/OV0OSiLUm6Iqef6RL3yFeDqNjZD_m94FpQQhUe5TilMlRpELab78osSxTnzKwUByYM49d0NuGRu6XpascBV1jf-sugoTLWHBDLlaS3hWhd2v6CkzsFDqs505oEmHEXXoNziSNCaqWmu3glQ0-JnBvmBV6ToYr_nYn6TJdkCsSWUePkJ5D4TNQtZbPPqBHDmv/o817N2Z75P8UVahl9APdu91-IT1Mz_pQ5Ze9qDr-0-g),Weapon,Heavy,,18.0,27.0,,,,,,,,,Animal bone has been affixed to this Moblin club to greatly improve its damage.,,,,,,,,,
Stone Smasher,BotW_Stone_Smasher_Icon.png?version=0358768053162b235554b5cb5de678bc (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/G4yOz5Oo9PphedY3FxnN_w/gj3jUcAI7_qm91LJjURST5LBVN2ahMnYsyratWOuwdr8Na0K2tObHrMdYl1Gs5L5hS_v-B3kdtynx8YLlstIdZHgkdkRR2t7xde-BPqAUNjdfYz7_zr3ux648m8f5_78fueKShU-HwX7FNQy6_59LcCTy7mFaQ3Pf7lfnkqb9hE/exT8VM8G3_JCe0-BMndHq9wZNyrXACr3QEdo2x0XDjA),Weapon,Heavy,mining,40.0,42.0,,,,,,,,,"A two-handed weapon forged from a rare metal mined in Goron City. Its center of gravity is at its tip, so it uses centrifugal force and its sheer weight to smash opponents flat.",,,,,,,,,
Sword of the Six Sages,BotW_Sword_of_the_Six_Sages_Icon.png?version=013a03d5863f4e7f358f748328364a64 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ZacSQpvYCNBv-u5rTBGAjA/RE47QnIfD-M0sXCBqSUYtZKh4CiwCeuJlQOVyal30YuHXtmHDKe56cEBU1Zi2tFg5RywXck_p9LfOMA-VdUUuKSjgMW4A6RrgUkWtUZOQbQgVNbzVIcE8u59jpLDdhLg3ALWMVlJe9n42j_9-HsmaYem6JnUD5o6tZZQeJm_jBvzfR9Sg4eApKQ1ydJPueop/FG4WSqoYf8930N5PxX-VqMecTnoeQTb_tJXTrRfqlLc),Weapon,Heavy,,50.0,48.0,,,,,,,,,The Six Sages are said to have forged this longsword to seal a demon king in the world where the hero fought against the beasts of twilight. The blade shines with a holy luster.,,,,,,,,,
Traveler's Claymore,BotW_Traveler%27s_Claymore_Icon.png?version=157d4bf8324b296313c99a982b6bd59d (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/b4oNzx8SLLTW79EDGhy0fw/-75mNh1vLKjcvAy9MOAbBlBoDnc7nF3fKkpEkROkn4LPUYLHCbNlPFzlieqrkyZfP9U5Lh8vDxNY0hLIn_vRTP2SVNVUCF_1GASPlYWDW38BbcKVchavAtojEwJVAqQWDVMQwp3NsvT26vD8s_d0igGYF9vWF0_sJQEBjoZPVgq85Ww2p2xfPjFebTZboqef/79Jh365ePk2Jo0OeRPT36Pyum8TJVekub5XfRG95Xyc),Weapon,Heavy,,20.0,10.0,,,,,,,,,A basic two-handed sword often wielded by aspiring adventurers. Its immense weight can knock enemies' shields right out of their hands.,,,,,,,,,
Windcleaver,BotW_Windcleaver_Icon.png?version=c1539d20d7e46ed96b44bad78e7c9877 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/rP8RX9IimF728_vOWktqTQ/bTbOGNwnwPyF-uGtqtI84EmxD_bcP9mBWJTNV0gkgMpnuOx7MTw4LMpoBjLZ3cTz-HKwXrYocpVxwNoHsDzQEk5GuWAS10Kqf-OpxyqhRrkf86QkH7QNDRMh4Zg-Ij6HWGAYqjApIPBB3-5M38TKlmHVsupu6NXJ65VHOHmj614/F0LHZnr4Q6oLp0Gb7u4o5fdJCLNfF7nag1qrgk8jsoc),Weapon,Heavy,,25.0,40.0,,,,,,,,,"This sword is favored by high-ranking members of the Yiga. When wielded by a proficient fighter, its unique shape cleaves the very wind and creates a vacuum.",,,,,,,,,
Woodcutter's Axe,BotW_Woodcutter%27s_Axe_Icon.png?version=95f41c560cf067a29a02489fa0520592 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/6VwBlPHiXHDl90DTX3ruMA/GiwafgRiAEGMipZjsInSPQIQiON0G56ClCHlGpkdnmcGyMsioDOfL3a7W1pnIl-2YAaOoFGmxu6a-fseqCPc0neEGO7J_uaSQBdOVY3v0fT9yoE80djhiQF0x9N0i6Rkaz-tmoenklqJMlafZcfzuvlDgml0pHgH2RjEVEIogAEwDF0CqMkZuLqbbo4UZd3u/bbKq7hShqjF_4y_Bgg4EdM1HIWGp7lmBNrpFADBLgYM),Weapon,Heavy,,47.0,3.0,,,,,,,,,"A woodcutter's tool of choice for felling trees. Its formidable weight and uneven balancing make it a slow, inefficient weapon.",,,,,,,,,
Ancient Spear,BotW_Ancient_Spear_Icon.png?version=e690cd33f2dc36054e02dc49abbbb2f5 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/M8X5EGzNnAtXJ3-jMqNOmw/d0mvkk2VB-F6EgijFozkRPAUxSeRh6kGZSJjmKBB2fttb-7Qd3f4RM6_4tTcnymjbMQZySsw6TvDpF7Tw63Ebb3xxnNnXX33HD0myTO0-mgTv040Blpbzs2WnarGYxHrZwvoJw7vo5PZdHi3qvHPlcHOtfYUNETTIFdl-4pU_Nk/zkpc3upbaJFz40s8ejETcQKWmEru4mjaQJpbG0vTZFk),Weapon,Pole-arm,,50.0,30.0,,,,,,,,,This spear is the result of countless hours of research into the ancient technology used by Guardians. The glowing spearhead has high piercing potential.,,,,,,,,,
Boko Spear,BotW_Boko_Spear_Icon.png?version=864bc6544f6947661d29b04fb788e99b (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/FAh-Kwb6y96uz_8vFwxRag/wbuscUUzgkUZG1LD3Tayi7u0VfL56w4iBrp93GY3SsZvWNsA9SosVlKcWl1x2ZzELskNzrIXQ90sNjw5ClnOgg0p0mrhVjZGCDYdpVSQ-R49asO9Zx_-KB_YsgwlUHJeVD_YOVWthFhstCHsSyEB3rfiROQBtHFEEcH65KX8qgA/GTMQL7Jhk7MIQ26Lf8Ea-jAh1Qi3yTdFInKj1FmnItg),Weapon,Pole-arm,,12.0,2.0,,,,,,,,,"A spear recklessly carved from a tree branch. Useful for skewering fish and meat, which can then be cooked over a flame. If it's close to breaking, consider throwing it.",,,,,,,,,
Ceremonial Trident,BotW_Ceremonial_Trident_Icon.png?version=689a055fa55eff273b90aac9c0533d98 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Wx1m7G0fFVsf4SGi0g8jVw/8yEaKPIC5ZNhr8O20iCTXqNUHy3W0eUd2bvH3MBUokjiv1eu5r64zUbSKam7qs-sErVi80KrvTmK-wnHYXoOi0nFLbhcxTcYVl4qTr2CQX75pPMkWTrDLdFHy3gHejIBVM10epJ3ce-Pa6M0Ej10LDxz9Sp1l8sUhq9FP0xGH0iMeL1eVJnIF8YIYpZKglIP/f_VOEDtbeddtzbR5URLdhrTFyZLqVjLoYtXpLeGKJrU),Weapon,Pole-arm,,40.0,14.0,,,,,,,,,"A spear modeled after the Lightscale Trident wielded by the Zora Champion Mipha. They may be identical in appearance, but this spear's strength and durability are inferior.",,,,,,,,,
Dragonbone Boko Spear,BotW_Dragonbone_Boko_Spear_Icon.png?version=90132586e3e9994d264140d15d459977 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/dvUCr6dkgKu1WvLp-Zo3XQ/_jqwG9FYK-n29PjcrAiBwdEKEpVBRYgupLy9G20lIv8D-p-xca6gH0QjowAnWn4QgW8ldGX6g8Ruc-gnZsk6b9qoTon7PQrq9pOZD008PDfphfPlWQKv_lZNJxVlfVTWRoo90zqvH4e44NjD_-U4yPBwa0-CDWw4ib1tl1_P0udGeo_C2LSgeuAmsvmRqwtR/CPFEl_QTrqXBczaex6SYzR_7b32VtxMtB3FnHUt8IZo),Weapon,Pole-arm,,20.0,12.0,,,,,,,,,This Boko spear has been strengthened with fossilized bones. The bones are positioned outward so the fangs bite at the opponent. Beware Bokoblins carrying this weapon.,,,,,,,,,
Dragonbone Moblin Spear,BotW_Dragonbone_Moblin_Spear_Icon.png?version=394e1f959662815148112c19b891bda1 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Vpg_ngPIsrbAc4iw6dO40A/uogfJEX4eLbHlpTNumu6AimyGMg8TNA7hkBFYFAD8NTjh2CwvaCpljMtWvX3uKCW-0VfCrV3Z8sdXrRX8tbHozArwQxTscaKukB42W_UkgJ-t7xxwSHXU-1EdqwqF3fPsEdojdf_DrW8fmWUjCeZtGsP02q45Yip3v_LSVv1itWW3hWnuj8zLR_CGmsBAgWu/wqow_9l6A2zl8TGdI1jLbCkJXrRxTmJPuJzuKgG024o),Weapon,Pole-arm,,25.0,15.0,,,,,,,,,"This spear is a fan favorite among Moblins. The spearhead is made from fossilized bones adorned with spikes, which greatly increases its stabbing power.",,,,,,,,,
Enhanced Lizal Spear,BotW_Enhanced_Lizal_Spear_Icon.png?version=3382d7737201a6b50d4dc19ed768c58e (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/rkGLmnvCtQPrXRmjkjC9Aw/D_1c4qI1z_bHpvxaE4-Q0dsgqjEgQkzvAmy152FTYDzdc5Ar4XEzotjfYEYuhAw_UWRn2_8MTdbHSdzU6XNJUAefKkKVWFUBKvcik2gyUqL3xEnfC2lP29qfcmfp2nnVKsK2pqRWzTW6R84OS7ag4RCK6LiR1cUujAJmEDOKjv-1uMc6c4IF0KD8WTXbMPYs/5QRgL1sAXEpQFWSHsWPsma9PrmE1IH4xbO_Flj1Fj5Q),Weapon,Pole-arm,,22.0,12.0,,,,,,,,,"Judging by the harpoon-like spearhead of this Lizalfos-made spear, the Lizalfos use it for fishing as well as combat. Try not to get caught on the wrong end of its barbs.",,,,,,,,,
Farmer's Pitchfork,BotW_Farmer%27s_Pitchfork_Icon.png?version=c4e8d7161023c1f9cf8ee8d0f91ca7ca (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/p7x3evGHAoOfeG-rctZPig/hXwCCCL_FIJH4mJRMg33-IYnMglyFaR7bcY5joyOodQPsfm22zphq8AGSLMLZ8-_JwbuH9hsJP5wbtOE7VgA4IfDzZAx-hYMNuZV7UGyaGAqn22B9rzfSD1m0Bh4PXhFlxqjIskifTEf0uHoZAYIlLo3er25BXRp2NMrZjSGiygk4LksX5SBnQ6n7d3gFB2h/gznkHLIgkHcSu38EpUN4EuJ8uwFfSx8bbmxeuvkB_pk),Weapon,Pole-arm,,12.0,2.0,,,,,,,,,A farming tool used to collect hay efficiently. It's light enough to be used by anyone. The four prongs are very sharp.,,,,,,,,,
Feathered Spear,BotW_Feathered_Spear_Icon.png?version=4007014c2879920f30c88d21c557115b (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/17_JlYOgJ7weNie69HQV8w/2TewUJjuH-ZkbjpduV8aQb9Z3AwroshiCV41cWnHREBmgHtB6Hd5F8BqkGsIdmf_yJ3xS8M3Q7wJaIh0J2s_gO9Ezke98HLK8WRb8t_nuSLnRnKzWOV0iEME5hdRuHfrEWrOf2tzAQtKFfuUMux9qexnQex1wNFMjnV75Ru_70o/1MUwYMw-lZvt63U5aklyP5nQXdNV1hvumiF4xuvKLiw),Weapon,Pole-arm,,35.0,10.0,,,,,,,,,"Its lightweight design is a hallmark of Rito craftsmanship. It's made from light and sturdy materials, which afford Rito warriors ease of use during aerial combat.",,,,,,,,,
Flamespear,BotW_Flamespear_Icon.png?version=e674f710762533de79392199f8ec9a21 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/O1154T-R6b0ZAUO5InU3DQ/F7vrBFXNDoc_9VQEllyPXew0JjxPPNscMVzAqDKLTXR5YQC9bFbfdz9iv_zwtR2EKVmugAADlEsPrLM9Rw8JBlaAacoDG0p0PJ1e40b40S_B51-kBHdcC6Dy1dWCmhYSqiiZKRwEpIbwgfhk6uDFh2jjH95UzdNPDLi3Z_K0oyU/EcD5CkqJv9HchHtf0jfdQ6jzJZGhDJGs8iiiRMMvJek),Weapon,Pole-arm,,50.0,24.0,,,,,,,,,A magical spear forged in the magma of Death Mountain. Attack when the blade glows to expel powerful flames.,,,,,,,,,
Forest Dweller's Spear,BotW_Forest_Dweller%27s_Spear_Icon.png?version=7d24ba7d5e9bc8c49f37b62e561ae6a6 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/7dZJOGVKkmyy9cWChGKQ4g/r0W2yTFx0_fbe_msxi6ojLXrAk1k4e8i2T1HY9OdrSprtdTMqRSWpofWfQwhuQ3au4Ln_4Yco2_g5txlbKlNCa51zqrF4ey9YXyLSTNLevzLX97a0S7IcsMhl7vDppSY1eUjPAhBFDFE84-qAX97UcQAefrdMigFAOMybBM1p9Kbzuy5GARs20-zID4NvLFK/kJJHwNoHffZnvD7P_NXL0nCXjsxi2_zbIi6TIDQ_Uxg),Weapon,Pole-arm,,35.0,11.0,,,,,,,,,"The Koroks made this spear for Hylians. The shaft is made from a light, sturdy wood, offering ease of use. The spearhead is made from a much harder wood, offering strength.",,,,,,,,,
Forked Lizal Spear,BotW_Forked_Lizal_Spear_Icon.png?version=2e07158bbced3704a9168a194501083c (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/f2rkM7n7y6vlBco6PYBHKQ/VuXnb5pCQjvWDPwP6yP8e_OcEId7OwdMviLieMael2ZA6s8nyjxnddQj3pPmLRPuXphyes58CUi80L2sMcY_zwJsPJ0bw3I5GxxrK2ZlTZeKx12hrUYKE2vimgVTKrpv_6h7cl9cJX11xZS82enIOe8aTaEGWam_qUz0-TFlDf800M7vt12vdHhvfWMj232v/TqjCTnBuTnQVQssvhGv7jvB75svXZahfTxH5RQTLWKI),Weapon,Pole-arm,,28.0,18.0,,,,,,,,,"Skilled Lizalfos warriors tend to favor this spear. What it lacks in piercing power, it makes up for with the brutal wounds its dual ripping blades will inflict.",,,,,,,,,
Frostspear,BotW_Frostspear_Icon.png?version=195fbd5001a3bd1bb731884968b5b229 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/kr4QWhjKPjbGzKhoqyHb1Q/jho4m30WDc2IErg-CshsFBMbU6XdJsEKr070LAwyxZBRd8reU_FW9PAyD2RBhgiHA4r1fjdGxCAKbOq8bG6BiqQpeaJePtkT4TKOXkAe0kfGrgFu69C12nkjSiVOpeYIJtpl1PECoTTAk_cwBNH1WWdH5dYz0uq5dMvkulYh7Kc/3YYNWd1hpSH80dHpkst6gMpe_CZVC-hNzH7YjXV32c8),Weapon,Pole-arm,,40.0,20.0,,,,,,,,,A magical spear forged from ancient ice taken from the Hebra Mountains. Attack when the blade glows blue to chill the air and freeze your foe.,,,,,,,,,
Gerudo Spear,BotW_Gerudo_Spear_Icon.png?version=37e61b25bec7b192047368b522f6c400 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/FQnuR7YIf6Vxx4zNtyCmwg/R3biiqMDvJd7lbaE_F6Jau3NFdw_QEWuSHO4Oih2gJ2lwNFguL8-16rlJqVuS4RZmm7ArczxWUeghCdzmv8Td-ifYMYGZvDepTk4Vv_Fq-k6XJMZ6tC1zKz7r-60E5sCd7gRRlWoJhjyiqRXuuqegQQGG4TqYAE6rLBIFH1NTbo/XKXHwNYzdIqo0o0wpf28aGLuXNp2ER4FWKYyrT6PVKs),Weapon,Pole-arm,,35.0,16.0,,,,,,,,,"This spear's center of gravity is in its tip, making it a bit unwieldy for the average fighter. But in the hands of a skilled Gerudo warrior, it's a weapon of reliable strength.",,,,,,,,,
Guardian Spear,BotW_Guardian_Spear_Icon.png?version=d83e52d8b853b4a4b565bce894c23fad (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/6IvxZRqOcro2A8oE4N1D9w/sOosLO5lZvlk_IfhyOju3UWMum92hIN_UK2JLCUtiysnAP6Yy8-yyTiv0xZ4AgMhhw7NLCcUsvxElZyjiyOYAyVNd3eur7kfBqjFa3a3zpHCMrvXc5HDy2WLVtpG5nGa_ADog58XBPulNfHpZTvw1sdX7BDlFefgZW2GzmpS4Mw/gXC1nklXzcD1E-8A9yP5gz-2iXr5Ov8eKM5AKpDswxU),Weapon,Pole-arm,,20.0,10.0,,,,,,,,,"Wielded by Guardian Scouts, this spear has a high piercing power and is a testament to the Sheikah's high level of technology. the spearhead appears only when brandished.",,,,,,,,,
Guardian Spear+,BotW_Guardian_Spear%EF%BC%8B_Icon.png?version=b8c854a74e13ac93a2cad1eea2922062 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/G3yEzit4hjbS_L3v-969UQ/tU_oYY106fEoMgV1ALruL9PK0h066vtYzuOzkKrSW8cqUOqNs8F8N0kgPItQze0fla0UB5uKQWJTN7xm_qtPfKcsb06cjAX3vy39wLHuLg9o_rSyLlp14oW4H_iU3RaY5Kp-y3gkyVbMgIlVG7iKyPPL46g47UuGFkj5E7Z8mFgZO71n4hgrX4vm5ehS4iQj/TPWl0TNjokJQdUAqCLqW9zCDe56EjhZVM6Tb77VsSyE),Weapon,Pole-arm,,25.0,15.0,,,,,,,,,"The tip of this Guardian spear has been enlarged and strengthened. It's a bit shorter than your average spear, perhaps to facilitate use in tight spaces.",,,,,,,,,
Guardian Spear++,BotW_Guardian_Spear%EF%BC%8B%EF%BC%8B_Icon.png?version=631dda4cf4935de7a37e23e0615769de (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/_mkVe0bMEE6ZdlN_19JVLw/asDgxgQOvtfvMLLB4jqZZnC9mlE0eJOonwrD_vL_XquSFaQ3AqjGE00YJqGwBsPXkgp-WsVvG0y-5m2LHd3hZs63SelekPkU25TABvaDrwTvNDz6FwSCBdbpEa5hlsR3LC8FBIqN0G_cjw_eoTBRzNGxqB7hR6FUroEevd-vX0agoQ8WL2eB8QeqLe5mpbDfO_RV2Vmv9978LKLda2wLFA/c1SdaaQSmPvd7I0dYbGdBkctEiyGf-wvTYWqejsHmKE),Weapon,Pole-arm,,35.0,20.0,,,,,,,,,"This Guardian spear's output has been boosted to the maximum. The spearhead is designed for optimal stabbing, capable of easily piercing most armor.",,,,,,,,,
Knight's Halberd,BotW_Knight%27s_Halberd_Icon.png?version=90974207fb88bd108ecfc0c3b7121e71 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/wauVHrLVaLg48CvA2b75oQ/GluVnbcIfOe3ZT3UN_c7WgTHwANMAvfgrqKgNhqpeQCUO0XGOgdu6CklsGCeyWHuzbs7DGyyWCxUizmfsnrz3SWOGyVT5RdJIFZOX3kbWyRwJupNjgO2aOsqlKHbRck7bTdxwhm6fxYgnjPiriy5ek_oxH_8LoE5CbttkYERvwN9ObpAUNIK0cRSAyTV1Xso/P8IZBMCbr8ac8N4mpaXF1ND-aH2pnpyyV93n7XyLqSg),Weapon,Pole-arm,,40.0,13.0,,,,,,,,,A spear used by knights adept in mounted combat. The spearhead is modeled after an axe.,,,,,,,,,
Lightscale Trident,BotW_Lightscale_Trident_Icon.png?version=f7e9bc837a705c21d7a3ecd4eb621701 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/AxW_Y1NQOJjbC65W6DAaQg/BiXODL6O4H9SoDf22c8M8MYcxKxgvIneHUlEs3smsC_H3gjU62waEqM9tdic_MOkKOR1zOmRn-tapPaqtUXMqOI104rCFP89AX8Og-i6ig0n9FA1EWAResUC7L2HN8AkGy3lTyLzQZn819EMBHaYH1CyvhjZmCHnceUNs01EqkUO7thLJ55CG0sIs7gJAbcj/bkeH5dOO7DgVtzsHK7RewWcpgipAZ_eIk6BVswJ9uAo),Weapon,Pole-arm,,70.0,22.0,,,,,,,,,"A spear of peerless grace cherished by the Zora Champion Mipha. Although Mipha specialized in healing abilities, her spearmanship was in a class all its own.",,,,,,,,,
