name,class,subclass,durability,strength,description
Golden Claymore,Weapon,Heavy,30.0,28.0,Only the most talented Gerudo sword fighters carry this two-handed sword. It's actually much lighter than it appears and is surprisingly easy to wield.
Great Flameblade,Weapon,Heavy,50.0,34.0,This magic-infused greatsword was forged in the fires of Death Mountain by Goron smiths in an ancient age. Attack when the blade glows red to expel flames.
Great Frostblade,Weapon,Heavy,40.0,30.0,This magic-infused greatsword was forged by smelting ore found in the Hebra Mountains' permafrost. Attack when the blade glows blue to expel freezing air.
Great Thunderblade,Weapon,Heavy,50.0,32.0,This magic-infused greatsword was forged by the Hyrulean royal family using lightning from the Hyrule Hills. Attack when the blade glows golden to expel lightning.
Iron Sledgehammer,Weapon,Heavy,40.0,12.0,"This large iron sledgehammer was originally used for mining, but it works reasonably well as a weapon too."
Knight's Claymore,Weapon,Heavy,30.0,38.0,Only the most confident of Hyrule Castle's knights carried this two-handed sword. Its cutting edge is finely honed.
Korok Leaf,Weapon,Heavy,25.0,1.0,"A single swing of this giant, sturdy leaf can create a gust of wind strong enough to blow away light objects."
Lynel Crusher,Weapon,Heavy,20.0,36.0,"This two-handed weapon is favored by the Lynels. It may be more accurate to call it a lump of metal than a weapon, but if wielded by a Lynel, it can pound you into a fine dust."
Mighty Lynel Crusher,Weapon,Heavy,25.0,54.0,"This Lynel-made two-handed weapon has been reinforced to increase its durability and striking power. Its overwhelming heft will crush your foe, shield and all."
Mighty Lynel Spear,Weapon,Heavy,35.0,20.0,"The weight and cutting edge of this Lynel-made spear have both been enhanced. It's immensely heavy for a Hylian, but a Lynel can cleave through rock with a single swing."
Moblin Arm,Weapon,Heavy,5.0,15.0,A Moblin bone that continues to move even after being detached from its body. The bone is thick enough to be used as a weapon but is extremely brittle and easily broken.
Moblin Club,Weapon,Heavy,12.0,9.0,"A crudely fashioned club favored by Moblins. It's carved from a sturdy tree but is sloppily made, so it breaks easily."
Royal Claymore,Weapon,Heavy,40.0,52.0,A two-handed sword issued to the Hyrulean royal family's immediate guard detail. Its powerful strikes are said to crush an opponent's body and resolve alike.
Royal Guard's Claymore,Weapon,Heavy,15.0,72.0,"The Sheikah used the very essence of ancient technology to forge this greatsword. It was designed to oppose the Calamity, but its low durability made it impractical in battle."
Rusty Claymore,Weapon,Heavy,10.0,12.0,"A two-handed sword not properly cared for. Although it can be used as a weapon, its durability is very low. Don't expect it to last for more than a few strikes."
Savage Lynel Crusher,Weapon,Heavy,35.0,78.0,This Lynel-made two-handed weapon is immensely heavy thanks to a rare metal from Death Mountain's peak. The power of its downward swing is in a class all its own.
Silver Longsword,Weapon,Heavy,30.0,22.0,"Although the Zora prefer spears to swords, they made this two-handed weapon using a special metal. It found popularity among Hylians for its unique design."
Soldier's Claymore,Weapon,Heavy,25.0,20.0,A two-handed sword designed for combat. It's heavy and hard to use but has decent build quality and durability.
Spiked Boko Bat,Weapon,Heavy,12.0,18.0,"After much consideration by Bokoblins on how to improve the Boko bat, they simply attached sharp spikes to it. A skilled fighter can cause immense damage with this."
Spiked Moblin Club,Weapon,Heavy,18.0,27.0,Animal bone has been affixed to this Moblin club to greatly improve its damage.
Stone Smasher,Weapon,Heavy,40.0,42.0,"A two-handed weapon forged from a rare metal mined in Goron City. Its center of gravity is at its tip, so it uses centrifugal force and its sheer weight to smash opponents flat."
Sword of the Six Sages,Weapon,Heavy,50.0,48.0,The Six Sages are said to have forged this longsword to seal a demon king in the world where the hero fought against the beasts of twilight. The blade shines with a holy luster.
Traveler's Claymore,Weapon,Heavy,20.0,10.0,A basic two-handed sword often wielded by aspiring adventurers. Its immense weight can knock enemies' shields right out of their hands.
Windcleaver,Weapon,Heavy,25.0,40.0,"This sword is favored by high-ranking members of the Yiga. When wielded by a proficient fighter, its unique shape cleaves the very wind and creates a vacuum."
Woodcutter's Axe,Weapon,Heavy,47.0,3.0,"A woodcutter's tool of choice for felling trees. Its formidable weight and uneven balancing make it a slow, inefficient weapon."
Ancient Spear,Weapon,Pole-arm,50.0,30.0,This spear is the result of countless hours of research into the ancient technology used by Guardians. The glowing spearhead has high piercing potential.
Boko Spear,Weapon,Pole-arm,12.0,2.0,"A spear recklessly carved from a tree branch. Useful for skewering fish and meat, which can then be cooked over a flame. If it's close to breaking, consider throwing it."
Ceremonial Trident,Weapon,Pole-arm,40.0,14.0,"A spear modeled after the Lightscale Trident wielded by the Zora Champion Mipha. They may be identical in appearance, but this spear's strength and durability are inferior."
Dragonbone Boko Spear,Weapon,Pole-arm,20.0,12.0,This Boko spear has been strengthened with fossilized bones. The bones are positioned outward so the fangs bite at the opponent. Beware Bokoblins carrying this weapon.
Dragonbone Moblin Spear,Weapon,Pole-arm,25.0,15.0,"This spear is a fan favorite among Moblins. The spearhead is made from fossilized bones adorned with spikes, which greatly increases its stabbing power."
Enhanced Lizal Spear,Weapon,Pole-arm,22.0,12.0,"Judging by the harpoon-like spearhead of this Lizalfos-made spear, the Lizalfos use it for fishing as well as combat. Try not to get caught on the wrong end of its barbs."
Farmer's Pitchfork,Weapon,Pole-arm,12.0,2.0,A farming tool used to collect hay efficiently. It's light enough to be used by anyone. The four prongs are very sharp.
Feathered Spear,Weapon,Pole-arm,35.0,10.0,"Its lightweight design is a hallmark of Rito craftsmanship. It's made from light and sturdy materials, which afford Rito warriors ease of use during aerial combat."
Flamespear,Weapon,Pole-arm,50.0,24.0,A magical spear forged in the magma of Death Mountain. Attack when the blade glows to expel powerful flames.
Forest Dweller's Spear,Weapon,Pole-arm,35.0,11.0,"The Koroks made this spear for Hylians. The shaft is made from a light, sturdy wood, offering ease of use. The spearhead is made from a much harder wood, offering strength."
Forked Lizal Spear,Weapon,Pole-arm,28.0,18.0,"Skilled Lizalfos warriors tend to favor this spear. What it lacks in piercing power, it makes up for with the brutal wounds its dual ripping blades will inflict."
Frostspear,Weapon,Pole-arm,40.0,20.0,A magical spear forged from ancient ice taken from the Hebra Mountains. Attack when the blade glows blue to chill the air and freeze your foe.
Gerudo Spear,Weapon,Pole-arm,35.0,16.0,"This spear's center of gravity is in its tip, making it a bit unwieldy for the average fighter. But in the hands of a skilled Gerudo warrior, it's a weapon of reliable strength."
Guardian Spear,Weapon,Pole-arm,20.0,10.0,"Wielded by Guardian Scouts, this spear has a high piercing power and is a testament to the Sheikah's high level of technology. the spearhead appears only when brandished."
Guardian Spear+,Weapon,Pole-arm,25.0,15.0,"The tip of this Guardian spear has been enlarged and strengthened. It's a bit shorter than your average spear, perhaps to facilitate use in tight spaces."
Guardian Spear++,Weapon,Pole-arm,35.0,20.0,"This Guardian spear's output has been boosted to the maximum. The spearhead is designed for optimal stabbing, capable of easily piercing most armor."
Knight's Halberd,Weapon,Pole-arm,40.0,13.0,A spear used by knights adept in mounted combat. The spearhead is modeled after an axe.
Lightscale Trident,Weapon,Pole-arm,70.0,22.0,"A spear of peerless grace cherished by the Zora Champion Mipha. Although Mipha specialized in healing abilities, her spearmanship was in a class all its own."
Lizal Spear,Weapon,Pole-arm,18.0,7.0,"Judging by the harpoon-like spearhead of this Lizalfos-made spear, the Lizalfos use it for fishing as well as combat. Try not to get caught on the wrong end of its barbs."
Lynel Spear,Weapon,Pole-arm,25.0,14.0,"The crescent-shaped spearhead of this Lynel-made weapon gives it poor balance, making it difficult to wield. Lynels, however, can swing it effectively with a single hand."
Moblin Spear,Weapon,Pole-arm,15.0,4.0,"This wooden spear is most often used by Moblins. It's made from a hastily whittled tree, so its stabbing power and durability are both pretty low."
Royal Guard's Spear,Weapon,Pole-arm,15.0,32.0,"This Sheikah-made spear was created using ancient technology to combat the Calamity. Its attack power is very high, but a critical design flaw left it with poor durability."
Royal Halberd,Weapon,Pole-arm,50.0,26.0,This spear was issued to the knights who guarded Hyrule Castle's throne room. Its ornate design was applied by a craftsman in service to the royal family.
Rusty Halberd,Weapon,Pole-arm,15.0,5.0,"A rusty polearm likely used by knights from an age past. The spearhead is in bad shape due to prolonged exposure to the elements, so its durability is low."
Savage Lynel Spear,Weapon,Pole-arm,45.0,30.0,White-haired Lynels favor this brutal spear. Its axe-like spearhead and exceptional weight give it absolute destructive power.
Serpentine Spear,Weapon,Pole-arm,35.0,12.0,The spearhead of this weapon is uniquely Sheikah in design. Spear masters of the Sheikah tribe can use the crescent shape to snag their opponents and deliver brutal cuts.
Silverscale Spear,Weapon,Pole-arm,40.0,12.0,The most skilled Zora fighters wield this spear. Its beautiful fish-tail design belies its impressive strength; the spearhead can pierce even the toughest scales.
Soldier's Spear,Weapon,Pole-arm,35.0,7.0,A long spear once used by the guards of Hyrule Castle. Easy to use but difficult to master. The iron tip is very sturdy and the shaft will not burn when exposed to flame.
Spiked Boko Spear,Weapon,Pole-arm,15.0,6.0,"A Boko spear enhanced with sharpened animal bones. It's light, easy to use, and deals a decent amount of damage."
Spiked Moblin Spear,Weapon,Pole-arm,20.0,9.0,"This Moblin-made spear uses a horned animal bone as the spearhead. Like many Moblin weapons it's sloppily made, but this one packs some respectable piercing power."
Throwing Spear,Weapon,Pole-arm,20.0,6.0,"A specialized spear weighted to excel as a throwing weapon. It's perfectly balanced to be thrown farther than your average spear, able to pierce targets from a great distance."
Thunderspear,Weapon,Pole-arm,50.0,22.0,A magical spear that contains thunder from Thundra Plateau in its tip. Attack when the blade glows with a golden light to unleash an electrical attack.
Traveler's Spear,Weapon,Pole-arm,30.0,3.0,A spear used mainly by travelers to fend off wolves and other beasts. It's easy to hold and simple to use.
Wooden Mop,Weapon,Pole-arm,8.0,5.0,"Just a mop to the untrained eye, it excels at tidying up the place. But it owes its sturdy construction to a true craftsman, so it actually has some combat merit."
Zora Spear,Weapon,Pole-arm,40.0,9.0,This spear is a Zora's weapon of choice. It's lighter than it looks due to being made from a special metal and is used by the Zora for both fishing and protecting their domain.
Ancient Shield,Shield,not apply,32.0,70.0,This shield was made using ancient Sheikah technology. Its surface glows blue when raised in defense. Enhanced functionality allows it to deflect Guardian beams.
Boko Shield,Shield,not apply,5.0,3.0,"A Bokoblin-made shield created by attaching a handhold to any flat tree bark picked up off the ground. It's pretty shoddy, so don't expect it to last very long."
Daybreaker,Shield,not apply,60.0,48.0,This shield was cherished by the Gerudo Champion Urbosa. The gold used to make it was handpicked to ensure a design that is both lightweight and very durable.
Dragonbone Boko Shield,Shield,not apply,8.0,25.0,"This Boko shield is reinforced with fossilized bone. Its defensive capabilities are respectable, but its predictably slipshod craftsmanship spells low disability."
Emblazoned Shield,Shield,not apply,12.0,3.0,"This shield features a traditional design from Necluda. Its combat capabilities aren't much better than the standard wooden shield, but it found popularity for its design."
Fisherman's Shield,Shield,not apply,10.0,3.0,"Often carried by fishermen for its fish design, which represents hope for a great catch. Its light wooden structure makes it convenient to take on a boat."
Forest Dweller's Shield,Shield,not apply,18.0,30.0,"The Koroks made this shield specifically for Hylians. It's made from the finest hard wood of trees that grow only in the Korok forest, so it's sturdier than it looks."
Gerudo Shield,Shield,not apply,20.0,20.0,The design of this metal shield has changed over time to match the Gerudo's sword-and-shield fighting style. It's favored by soldiers and travelers alike.
Guardian Shield,Shield,not apply,10.0,18.0,A shield made with ancient Sheikah technology. It can deflect a Guardian Scout's beam.
Guardian Shield+,Shield,not apply,13.0,30.0,The larger version of a Guardian shield has had its output level boosted. Its defensive capabilities are comparable to those of a metal shield's.
Guardian Shield++,Shield,not apply,20.0,42.0,"The output level of this shield has been boosted to maximum. Its combat capabilities surpass those of metallic shields, and it can deflect Guardian Scout beams."
Hero's Shield,Shield,not apply,90.0,65.0,"A shield said to have been the favorite of a hero who traveled the open seas. It was apparently a family heirloom, passed down through many generations."
Hunter's Shield,Shield,not apply,10.0,3.0,"Favored by hunters for its rabbit design, which is said to bring luck on hunts. It's easy to use, but its durability leaves something to be desired."
Hylian Shield,Shield,not apply,800.0,90.0,"A shield passed down through the Hyrulean royal family, along with the legend of the hero who wielded it. Its defensive capabilities and durability outshine all other shields."
Kite Shield,Shield,not apply,16.0,14.0,Rito warriors cherish this shield. Its unique shape is designed with mid-battle flight in mind to facilitate aerial combat.
Knight's Shield,Shield,not apply,23.0,40.0,"A shield favored by the knights who served the Hyrulean royal family. Its sturdy metal construction makes it quite durable, but its weight requires decent skill to wield."
Lizal Shield,Shield,not apply,8.0,15.0,"A common shield found among the Lizalfos. It's made of metal, but its sloppy craftsmanship offers poor durability."
Lynel Shield,Shield,not apply,12.0,30.0,"A sturdy shield favored by Lynels for its defensive and offensive capabilities. First and foremost a shield, but the banded edges can deal slashing attacks when deflecting."
Mighty Lynel Shield,Shield,not apply,15.0,44.0,"This Lynel-made shield has been reinforced with armor and even more blades. Stronger in both defense and offense, it can tear through basic armor when deflecting."
Pot Lid,Shield,not apply,10.0,1.0,The lid of a large soup pot. It smells vaguely of chicken broth... Yum! It can take quite a beating before breaking.
Radiant Shield,Shield,not apply,26.0,35.0,This extravagant shield is presented to Gerudo warriors who rise up to the rank of captain. Its apparent opulence is rivaled only by its combat capabilities.
Reinforced Lizal Shield,Shield,not apply,12.0,22.0,"This Lizal shield has been strengthened by adding a different type of metal to the mix. The edge is lined with spikes, so handle with care."
Royal Guard's Shield,Shield,not apply,14.0,70.0,"This shield was forged using ancient Sheikah technology. It boasts extremely high stopping power, but its structural weakness made its low durability impractical for combat."
Royal Shield,Shield,not apply,29.0,55.0,"A shield issued to the Hyrulean royal family's immediate guard detail. It boasts a high defense, but these days it's more a collector's item due to its ornamentation."
Rusty Shield,Shield,not apply,16.0,3.0,"It's likely this rusty old shield once belonged to a knight. It still has some defensive capabilities, but its usefulness has been worn down by time."
Savage Lynel Shield,Shield,not apply,20.0,62.0,This ultimate Lynel shield is used only by the white-haired Lynels. It excels at defending against even the most brutal of attacks and cutting down powerful fores when deflecting.
Shield of the Mind's Eye,Shield,not apply,16.0,16.0,A small Sheikah-made shield. Its design is intended to decrease blind spots without sacrificing too much defense.
Silver Shield,Shield,not apply,20.0,18.0,A Zora-made shield adorned with intricate ornamentation. It's said that true masters of this shield can redirect attacks as a rock redirects running water.
Soldier's Shield,Shield,not apply,16.0,16.0,"A shield once used by the guards of Hyrule Castle. It's easy to handle, but its core is made of wood, so it can catch fire."
Spiked Boko Shield,Shield,not apply,7.0,10.0,A Boko shield made of slightly stronger wood. It's been reinforced with animal bones.
Steel Lizal Shield,Shield,not apply,15.0,35.0,"This Lizal shield is adorned with several metal shells as a means of reinforcement. Its defensive capabilities are high, but its weight requires a skilled soldier to bear."
Traveler's Shield,Shield,not apply,12.0,4.0,A sturdy shield loved by many an adventurer. It is made of animal hide and sturdy wood and is best suited to defending against weak monsters or animals.
Wooden Shield,Shield,not apply,12.0,2.0,"This lightweight, simple shield is ideal for less-experienced fighters. It can withstand light attacks, but blocking stronger blows is not recommended."
Ancient Bow,Bow,not apply,120.0,44.0,"This bow is the result of Robbie's research. Ancient Sheikah technology allows it heightened functionality, Arrows fired from it travel in a perfectly straight line."
Boko Bow,Bow,not apply,16.0,4.0,"A basic Bokoblin bow made of wood. It's made by taking any tree branch and tying a string to either end, so don't expect much in the way of combat effectiveness."
Bow of Light,Bow,not apply,100.0,100.0,"Princess Zelda gave you this bow and arrow for the battle with Dark beast Ganon. When wielded by the hero, it fires arrows of pure light strong enough to oppose the Calamity."
Dragon Bone Boko Bow,Bow,not apply,30.0,24.0,"A Boko bow reinforced by fossils. Bokoblins handpicked the materials it's made from, so it boasts a respectable firepower."
Duplex Bow,Bow,not apply,18.0,14.0,A bow favored by the skilled archers of the Yiga Clan. It's been engineered to fire two arrows at once to ensure your target comes to a swift and none-too-pleasant halt.
Falcon Bow,Bow,not apply,50.0,20.0,"A highly refined Rito-made bow created by a master Rito craftsman. Rito warriors favor it for its superior rate of fire, which helps them excel even further at aerial combat."
Forest Dweller's Bow,Bow,not apply,35.0,15.0,"The Koroks made this bow for Hylians. It's crafted from flexible wood and uses sturdy vines for the bowstring. Its construction may be simple, but it fires multiple arrows at once."
Golden Bow,Bow,not apply,60.0,14.0,"This Gerudo-made bow is popular for the fine ornamentations along its limbs. Designed for hunting and warfare alike, this bow was engineered to strike distant targets."
Great Eagle Bow,Bow,not apply,60.0,28.0,"A bow without equal wielded by the Rito Champion, Revali. it's said Revali could loose arrows with the speed of a gale, making him supreme in aerial combat."
Knight's Bow,Bow,not apply,48.0,26.0,"The sturdy metal construction of this bow offers superior durability, while its lack of firing quirks makes it quite reliable. Once favored by the knights at Hyrule Castle."
Lizal Bow,Bow,not apply,25.0,14.0,A wooden bow created by Lizalfos. It's reinforced by the bones of a large fish - a marked improvement over any standard wooden bow.
Lynel Bow,Bow,not apply,30.0,10.0,A Lynel-made bow crafted from rough metal. True to the vicious nature of Lynel weaponry. It fires a spread of multiple arrows at once. Ideal for taking down quick-moving targets.
Mighty Lynel Bow,Bow,not apply,35.0,20.0,"This massive Lynel bow sports a bowstring made from a metal so tough, mere Hylians have trouble drawing it back."
Phrenic Bow,Bow,not apply,45.0,10.0,A bow passed down through the Sheikah tribe. Concentrating before drawing the string will allow you to target distant enemies as easily as those nearby.
Reinforced Lizal Bow,Bow,not apply,35.0,25.0,"A Lizal bow with a grip reinforced by metal. The body is made from the branches of a flexible tree that grows near water, which offers some serious destructive power."
Royal Bow,Bow,not apply,60.0,38.0,"In the past, the king of Hyrule presented this bow to only the most talented archers in the land. Its combat capabilities are as impressive as its extravagant design."
